State,Governor Party,Republican Seats,Democratic Seats,Plan to Redraw,Retaliate to State,Partisan Redraw 2026 Pickup
Alabama,R,5,2,Unclear,Pending,Pending
Alaska,R,0,1,No,Pending,Pending
Arizona,D,6,3,Unclear,Pending,Pending
Arkansas,R,4,2,Unclear,Pending,Pending
California,D,9,43,Yes,Texas,D+5
Colorado,D,4,4,Unclear,Pending,Pending
Connecticut,D,0,5,Unclear,Pending,Pending
Delaware,D,0,1,No,Pending,Pending
Florida,R,20,8,Yes,California,R+5
Georgia,R,9,5,Unclear,Pending,Pending
Hawaii,D,0,2,No,Pending,Pending
Idaho,R,2,0,No,Pending,Pending
Illinois,D,3,14,Maybe D,Florida,Pending
Indiana,R,7,2,Failed,Pending,Pending
Iowa,R,4,0,No,Pending,Pending
Kansas,D,3,1,No,Pending,Pending
Kentucky,D,5,1,Unclear,Pending,Pending
Louisiana,R,4,2,Unclear,Pending,Pending
Maine,D,1,1,No,Pending,Pending
Maryland,D,1,7,Unclear,Pending,Pending
Massachusetts,D,0,9,No,Pending,Pending
Michigan,R,7,6,Unclear,Pending,Pending
Minnesota,D,4,4,Unclear,Pending,Pending
Mississippi,R,3,1,Unclear,Pending,Pending
Missouri,R,6,2,Yes,Pending,R+1
Montana,R,2,0,No,Pending,Pending
Nebraska,R,3,0,Maybe R,Pending,R+1
Nevada,R,1,3,Unclear,Pending,Pending
New Hampshire,R,0,2,No,Pending,Pending
New Jersey,D,3,9,Unclear,Pending,Pending
New Mexico,D,0,3,Unclear,Pending,Pending
New York,D,7,19,Unclear,Pending,Pending
North Carolina,D,10,4,No,Pending,Pending
North Dakota,R,1,0,No,Pending,Pending
Ohio,R,10,5,Yes,Pending,R+2
Oklahoma,R,5,0,No,Pending,Pending
Oregon,D,1,5,No,Pending,Pending
Pennsylvania,D,10,7,Unclear,Pending,Pending
Rhode Island,D,0,2,No,Pending,Pending
South Carolina,R,6,1,Unclear,Pending,Pending
South Dakota,R,1,0,No,Pending,Pending
Tennessee,R,7,1,No,Pending,Pending
Texas,R,25,12,Yes,Starting Point,R+5
Utah,R,4,0,No,Pending,Pending
Vermont,R,1,1,No,Pending,Pending
Virginia,R,5,5,No,Pending,Pending
Washington,D,2,8,No,Pending,Pending
West Virginia,R,2,0,No,Pending,Pending
Wisconsin,D,6,2,No,Pending,Pending
Wyoming,R,1,0,No,Pending,Pending